"Place","Datetime","Fire","PM2.5","PM10","NO","NO2","NOx","CO","CO2","O2","Temper","Humid"
"Ho Chi Minh City","6/28/2023 8:05","Fire","81.58","60.39","73.98","76.24","66.91","91.4","103.41","15.03","144.29","90.79"
"Ho Chi Minh City","6/28/2023 8:10","Fire","91.13","86.08","74.21","87.89","90.36","126.79","84.29","12.82","102.38","69.6"
"Ho Chi Minh City","6/28/2023 9:00","Non","39.94","24.29","26.55","21.5","19.14","29.1","19.45","82.19","22.82","28.52"
"Ho Chi Minh City","6/28/2023 10:00","Fire","87.08","74.82","92.7","80.95","70.66","142.71","127.92","7.91","173.59","96.31"
"Ho Chi Minh City","6/28/2023 10:05","Fire","99.89","82.68","57.19","74.01","89.16","89.34","90.55","8.42","145.52","68.77"
"Ho Chi Minh City","6/28/2023 10:10","Fire","77.3","60.16","86.92","88.2","72.15","120.22","91.08","10.88","144.48","73.65"
"Ho Chi Minh City","6/28/2023 10:15","Fire","70.21","73.48","88.65","70.1","85.69","84.9","102.11","5.04","148.32","82.21"
"Ho Chi Minh City","6/28/2023 10:20","Fire","69.77","63.65","56.07","71.82","98.81","137.75","149.17","7.85","193.22","94.21"
"Ho Chi Minh City","6/28/2023 11:00","Non","38.6","21.28","25.51","27.08","26.44","29.36","16.05","88.67","32.83","24.6"
"Ho Chi Minh City","6/28/2023 12:00","Non","28.73","19","15.81","28.18","17.58","10.8","12.67","80.32","24.29","24.31"
"Ho Chi Minh City","6/28/2023 13:00","Fire","87.26","83.16","62.62","78.87","82.43","117.95","108.01","5.09","164.88","97.83"
"Ho Chi Minh City","6/28/2023 13:05","Fire","95.65","89.15","57.19","70.04","79.76","142.75","92.67","11.44","182.43","93.39"
"Ho Chi Minh City","6/28/2023 13:10","Fire","74.15","85.16","66.28","66.23","99.94","100.77","105.99","19.63","137.24","78.08"
"Ho Chi Minh City","6/28/2023 14:00","Non","23.12","16.57","29.05","19.04","22.33","29.78","12.21","79.8","25.9","28.61"
"Ho Chi Minh City","6/28/2023 15:00","Fire","86.01","73.21","93.33","60.7","87.18","147.08","102.19","5.94","150.98","65.13"
"Ho Chi Minh City","6/28/2023 15:05","Fire","75.39","88.97","56.56","70.83","68.03","74.17","71.19","9.36","172.16","70.16"
"Ho Chi Minh City","6/28/2023 15:10","Fire","75.54","72.93","79.25","88.97","69.71","140.23","109.62","17.17","198.45","93.37"
"Ho Chi Minh City","6/28/2023 16:00","Non","35.52","19.35","28.65","19.63","18.96","13.96","19.85","78.99","30.99","29.4"
"Ho Chi Minh City","6/28/2023 17:00","Fire","98.11","89.74","99.09","95.46","78.68","121.9","132.57","15.88","144.21","89.29"
"Ho Chi Minh City","6/28/2023 18:00","Non","35.33","11.36","21.84","23.8","22.96","14.71","25.26","91.61","32.21","26.23"
"Ho Chi Minh City","6/28/2023 19:00","Fire","80.31","55.89","76.19","73.5","83.83","100.65","129.8","9.2","181.07","82.75"
"Ho Chi Minh City","6/28/2023 19:05","Fire","96.65","68.11","65.17","86.03","81.99","100.55","85.06","10.86","128.79","81.37"
"Ho Chi Minh City","6/28/2023 20:00","Non","20.53","26.9","18.53","20.44","17.96","27.77","20.01","97.6","23.06","26.66"
"Ho Chi Minh City","6/28/2023 21:00","Non","30.01","23.62","24.41","27.17","22.67","25.94","26.23","62.98","22.08","25.2"
"Ho Chi Minh City","6/28/2023 22:00","Fire","85.39","74.26","99.16","98.54","86.42","141.47","109.42","8.02","97.66","76.2"
"Ho Chi Minh City","6/28/2023 23:00","Non","26.69","13.75","17.38","16.63","23.34","18.71","26.11","95.4","27.19","21.9"
"Ho Chi Minh City","6/29/2023 0:00","Fire","74.02","66.27","55.38","98.57","97.94","137.26","110.17","11.59","99.67","99.64"
"Ho Chi Minh City","6/29/2023 0:05","Fire","98.3","80.32","56.51","81.23","76.65","147.86","130.52","7.19","153.56","92.54"
"Ho Chi Minh City","6/29/2023 0:10","Fire","75.13","89.57","76.25","94","92.2","117.59","99.78","7.49","130.23","73.44"
"Ho Chi Minh City","6/29/2023 0:15","Fire","91.52","75","67.92","86.44","72.81","82.2","79.11","15.8","154.12","98.26"
"Ho Chi Minh City","6/29/2023 0:20","Fire","92.38","77.49","76.94","72.23","95.14","124.37","101.36","18.47","121.93","75.74"
"Ho Chi Minh City","6/29/2023 0:25","Fire","80.96","74.46","64.69","75.86","71.08","91.4","104.71","17.38","107.08","77.15"
"Ho Chi Minh City","6/29/2023 0:30","Fire","83.91","77.05","96.32","61.51","73.52","140.9","137.52","9.84","99.52","85.43"
"Ho Chi Minh City","6/29/2023 0:35","Fire","66.53","71.98","57.03","84.07","63.99","111.96","74.59","14.85","185.82","94.99"
"Ho Chi Minh City","6/29/2023 0:40","Fire","77.6","72.3","96.69","74.62","89.84","145.25","80.69","12.67","125.8","97.55"
"Ho Chi Minh City","6/29/2023 1:00","Non","26.42","18.82","12.47","15.93","22.02","27.29","27.64","66.78","29.62","24.34"
"Ho Chi Minh City","6/29/2023 2:00","Fire","78.3","72.04","86.48","84.69","76.11","113.22","85.64","15.59","162.48","65.95"
"Ho Chi Minh City","6/29/2023 2:05","Fire","88.15","64.79","94.86","89.86","96.82","139.47","130.24","12.51","115.39","77.8"
"Ho Chi Minh City","6/29/2023 2:10","Fire","73.03","84.26","69.49","63.15","95.57","144.45","128.81","13.58","176.09","86.37"
"Ho Chi Minh City","6/29/2023 2:15","Fire","69.2","55.2","94.44","91.84","81.58","118.63","120.46","12.12","161.93","71.74"
"Ho Chi Minh City","6/29/2023 2:20","Fire","67.41","64.61","62.13","79.57","66.06","126.27","111.92","12.6","122.92","98.47"
"Ho Chi Minh City","6/29/2023 2:25","Fire","81.29","65.83","74.96","70.16","65.24","142.17","83.04","12.37","172.23","94.72"
"Ho Chi Minh City","6/29/2023 2:30","Fire","97.91","66.63","68.04","88.29","94.04","134.51","89","19.44","171.53","78.75"
"Ho Chi Minh City","6/29/2023 2:35","Fire","85.89","70.5","78.6","72","90.21","107.9","148.37","12.36","135.17","88.07"
"Ho Chi Minh City","6/29/2023 2:40","Fire","93.06","89.98","83.2","61.25","78.42","74.26","110.21","10.06","97.52","75.47"
"Ho Chi Minh City","6/29/2023 2:45","Fire","68.07","76.71","90.06","73.47","78.36","77.05","131.25","9.42","167.75","88.01"
"Ho Chi Minh City","6/29/2023 2:50","Fire","83.96","89.81","92.15","81.82","91.51","142.99","111.3","6.41","144.33","99.16"
"Ho Chi Minh City","6/29/2023 2:55","Fire","94.03","76.83","61.64","93.78","76.86","91.25","142.24","14.52","131.61","73.78"
"Ho Chi Minh City","6/29/2023 3:00","Fire","79.74","71.55","55.14","61.87","83.01","115.59","76.82","18.39","180.92","89.74"
"Ho Chi Minh City","6/29/2023 3:05","Fire","71.31","73.62","86.31","96.86","71.3","141.48","145.79","10.2","105.74","74.12"
"Ho Chi Minh City","6/29/2023 3:10","Fire","70.33","82.88","60.3","85.27","90.3","93.75","123.37","16.49","171.59","66.16"
"Ho Chi Minh City","6/29/2023 4:00","Non","24.39","17.94","16.19","22.42","19.95","26.47","27.48","60.26","21.47","24.97"
"Ho Chi Minh City","6/29/2023 5:00","Non","22.8","23.78","16.33","26.56","23.92","10.17","24.6","73.34","22.65","26.05"
"Ho Chi Minh City","6/29/2023 6:00","Non","37.06","22.82","27.12","24.09","18.44","11.79","25.54","65.7","29.22","27.58"
"Ho Chi Minh City","6/29/2023 7:00","Non","21.85","22.96","25.55","16.96","22.41","14.42","13.38","73.98","22.93","29.39"
"Ho Chi Minh City","6/29/2023 8:00","Fire","84.67","77.39","89.46","80.49","71.36","86.04","81.07","15.42","172.52","71.54"
"Ho Chi Minh City","6/29/2023 8:05","Fire","83.14","65.41","61.76","81.05","61.76","93.45","108.96","11.81","174.08","83.52"
"Ho Chi Minh City","6/29/2023 8:10","Fire","92.31","81.23","82.01","70.57","85.43","109.57","103.85","19.66","160.58","90.69"
"Ho Chi Minh City","6/29/2023 9:00","Non","38.8","26.96","11.78","18.21","24.84","14.65","27.44","75.49","22.11","22.41"
"Ho Chi Minh City","6/29/2023 10:00","Fire","74.53","73.39","76.3","73.95","79.02","124.59","147.54","5.11","90.31","85.81"
"Ho Chi Minh City","6/29/2023 10:05","Fire","88.92","59.91","85.03","62.78","90.65","80.25","112.31","10.23","159.97","76.74"
"Ho Chi Minh City","6/29/2023 11:00","Non","24.66","14.7","23.53","25.54","22.63","19.53","29.65","84.61","23.12","22.46"
"Ho Chi Minh City","6/29/2023 12:00","Fire","70.65","81.88","76.6","75.17","89.72","92.47","107.71","10.3","178.56","95.86"
"Ho Chi Minh City","6/29/2023 12:05","Fire","77.09","89.49","65.54","99.45","98.15","76.88","78.45","8.55","119.61","92.88"
"Ho Chi Minh City","6/29/2023 12:10","Fire","75.11","80.65","81.38","80.45","96.35","84.29","79.67","7.02","116.14","92.27"
"Ho Chi Minh City","6/29/2023 12:15","Fire","73.11","72.73","63.79","81.7","86.8","105.59","131.97","8.58","155.36","67.38"
"Ho Chi Minh City","6/29/2023 13:00","Non","23.19","18.17","11.36","17.34","16.12","21.14","11.86","61.66","31.64","27.31"
"Ho Chi Minh City","6/29/2023 14:00","Fire","97.72","86.92","65.43","60.78","67.92","134.28","106.25","5.93","125.5","76.26"
"Ho Chi Minh City","6/29/2023 14:05","Fire","83.89","70.43","67.89","74.06","90.3","105.63","93.14","12.33","165.12","67.91"
"Ho Chi Minh City","6/29/2023 14:10","Fire","66.78","63.36","60.79","61.67","92.83","96.23","112.64","10.1","97.03","83.08"
"Ho Chi Minh City","6/29/2023 14:15","Fire","73.49","70.51","83.99","93.61","72.88","114.63","129.98","15.6","107.16","67.56"
"Ho Chi Minh City","6/29/2023 14:20","Fire","87.89","60.68","75.46","97.71","63.62","149.04","106.08","9.71","106.42","91.64"
"Ho Chi Minh City","6/29/2023 15:00","Non","35.01","18.57","14.94","25.32","29.66","20.08","21.83","95.77","29.75","27.23"
"Ho Chi Minh City","6/29/2023 16:00","Fire","93.99","70.43","56.28","74.72","96.24","137.05","127.16","7.53","172.61","89.78"
"Ho Chi Minh City","6/29/2023 17:00","Non","36.84","11.23","22.16","19.56","20.69","29.58","27.17","75.62","27.77","28.78"
"Ho Chi Minh City","6/29/2023 18:00","Non","38.2","17.86","26.49","23.76","21.29","27.3","14.2","68.65","28.76","27.96"
"Ho Chi Minh City","6/29/2023 19:00","Fire","94.77","73.46","83.3","73.18","79.98","126.35","125.57","6.65","137.86","81.44"
"Ho Chi Minh City","6/29/2023 19:05","Fire","85.92","78.44","61.19","60.35","94.09","88.02","105.84","19.07","197.82","90.62"
"Ho Chi Minh City","6/29/2023 19:10","Fire","84.52","84.27","85.38","80.53","70.16","129.29","135.44","10.87","116.97","94.28"
"Ho Chi Minh City","6/29/2023 20:00","Non","25.55","14.69","20.39","15.36","28.21","10.04","26.98","66.93","29.8","26.49"
"Ho Chi Minh City","6/29/2023 21:00","Fire","92.37","85.33","55.87","61.9","61.4","136.49","87.33","17.72","106.94","68.06"
"Ho Chi Minh City","6/29/2023 21:05","Fire","99.1","57.97","69.71","83.13","83.46","86.5","105.01","19.41","163.14","78.01"
"Ho Chi Minh City","6/29/2023 21:10","Fire","97.83","89.38","57.05","83.36","99.45","71.54","71.71","17.38","143.99","95.34"
"Ho Chi Minh City","6/29/2023 21:15","Fire","67.5","83.43","79.69","93.18","63.4","115.84","131.21","12.29","162.36","87.73"
"Ho Chi Minh City","6/29/2023 21:20","Fire","84.66","75.97","98.26","87.32","89.06","84.37","114.26","16.73","187.62","66"
"Ho Chi Minh City","6/29/2023 21:25","Fire","68.37","55.29","56.08","88.37","89.27","83.58","128.64","12.26","162.22","71.29"
"Ho Chi Minh City","6/29/2023 21:30","Fire","95.9","75.86","71.42","88.65","96.37","114.18","84.94","15.14","114.8","96.06"
"Ho Chi Minh City","6/29/2023 21:35","Fire","89.91","70.81","63.32","85.95","93.81","96.31","86.9","5.22","141.42","80"
"Ho Chi Minh City","6/29/2023 21:40","Fire","79.22","77.32","57.85","79.83","97.5","107.37","121.54","8.12","94.05","95.94"
"Ho Chi Minh City","6/29/2023 21:45","Fire","99.01","63.13","60.16","98.32","96.19","146.99","104.28","18.61","154.27","75.55"
"Ho Chi Minh City","6/29/2023 21:50","Fire","92.89","71.82","79.03","65.8","86.13","130.08","103.75","13.87","131.93","90.35"
"Ho Chi Minh City","6/29/2023 21:55","Fire","84.87","75.35","72.31","80.22","66.53","98.14","145.42","15.57","156.81","93"
"Ho Chi Minh City","6/29/2023 22:00","Fire","74.43","65.97","62.77","75.25","63.63","92.12","90.42","7.26","107.09","95.91"
"Ho Chi Minh City","6/29/2023 22:05","Fire","77.72","87.49","92.77","96.64","98.58","93.81","77.28","6.64","139.84","76.11"
"Ho Chi Minh City","6/29/2023 22:10","Fire","83.05","55.08","82.76","61.61","77.94","75.63","123.28","14.79","148.49","68.03"
"Ho Chi Minh City","6/29/2023 22:15","Fire","83.46","83.79","89.48","70.51","93.38","144.71","145.79","19.73","183.23","83.45"
"Ho Chi Minh City","6/29/2023 23:00","Non","36.04","25.29","23.69","21.21","24.57","13.86","27.97","75.24","29.08","20.5"
"Ho Chi Minh City","6/30/2023 0:00","Fire","99.74","84.28","86.23","97.56","90.45","100.52","143.16","11.81","160.38","86.24"
"Ho Chi Minh City","6/30/2023 0:05","Fire","99.25","72.69","94.88","83.25","99.34","99.82","102.49","6.32","143.5","76.11"
"Ho Chi Minh City","6/30/2023 1:00","Non","30.37","24.74","10.25","24.14","23.78","27.95","26.36","90.95","27.65","20.39"
"Ho Chi Minh City","6/30/2023 2:00","Fire","99.58","66.46","96.73","63.22","78.17","129.16","148.26","12.88","185.63","85.7"
"Ho Chi Minh City","6/30/2023 2:05","Fire","84.6","89.16","73.45","61.55","62.22","108.65","126.66","11.02","114.29","97.84"
"Ho Chi Minh City","6/30/2023 2:10","Fire","98.89","59.72","85.4","87.84","74.52","79.51","99.38","14.24","104.17","71.43"
"Ho Chi Minh City","6/30/2023 3:00","Non","29.62","18.38","25.9","28.79","25.75","15.29","21.08","83.09","30.89","23.42"
"Ho Chi Minh City","6/30/2023 4:00","Fire","66.52","68.22","86.49","61.49","70.48","120.27","85.51","18.12","194.19","75.17"
"Ho Chi Minh City","6/30/2023 4:05","Fire","81.82","87.76","70.54","94.57","65.58","74.57","89.81","12.18","176.58","90.2"
"Ho Chi Minh City","6/30/2023 5:00","Non","38.88","24.6","18.61","24.23","20.92","24.57","26.84","73.31","24.48","22.08"
"Ho Chi Minh City","6/30/2023 6:00","Fire","77.43","82.12","70.95","77.63","97.74","130.06","70.64","13.7","198.6","89.5"
"Ho Chi Minh City","6/30/2023 6:05","Fire","86.94","74","91.26","77.2","78.82","90.42","145.4","5.33","186.61","81.12"
"Ho Chi Minh City","6/30/2023 6:10","Fire","68.35","81.14","67.37","88.14","66.88","145.39","143.75","18.46","125.46","66.98"
"Ho Chi Minh City","6/30/2023 6:15","Fire","75.3","86.14","57.87","96.7","95.98","130.53","144.72","9.47","145.91","94.14"
"Ho Chi Minh City","6/30/2023 6:20","Fire","96.18","87.06","87.73","70.69","76.01","139.4","98.29","16.16","170.7","80.75"
"Ho Chi Minh City","6/30/2023 6:25","Fire","79.56","77.28","75.4","98.46","71.31","86.45","149.01","10.28","183.64","92.59"
"Ho Chi Minh City","6/30/2023 6:30","Fire","93.17","56.85","57.41","94.99","72.72","144.58","93.94","11.23","195.91","82.19"
"Ho Chi Minh City","6/30/2023 6:35","Fire","93.85","85.69","56.57","83.54","65.53","80.88","102.45","9.24","172.94","74.48"
"Ho Chi Minh City","6/30/2023 7:00","Non","35.11","23.28","16.52","28.27","20.47","14.84","28.99","79.31","31.3","29.29"
"Ho Chi Minh City","6/30/2023 8:00","Fire","67.52","71.49","67.53","98.78","63.74","97.68","86.38","6.98","174.65","88.21"
"Ho Chi Minh City","6/30/2023 8:05","Fire","84.72","65.84","94.84","82.28","96.05","131.46","128.76","19.64","139.44","69.05"
"Ho Chi Minh City","6/30/2023 8:10","Fire","71.73","83.08","64.34","96.42","65.75","117.72","114","17.15","145.98","80.55"
"Ho Chi Minh City","6/30/2023 8:15","Fire","65.1","85.25","96.36","93.94","86.85","70.22","138.97","9.81","108.24","74.28"
"Ho Chi Minh City","6/30/2023 9:00","Non","21.6","11.02","22.49","28.36","22.05","19.5","25.47","73.68","29.8","27.2"
"Ho Chi Minh City","6/30/2023 10:00","Fire","84.67","86.25","65.32","65.23","99.48","79.9","135.12","9.52","180.38","86.08"
"Ho Chi Minh City","6/30/2023 10:05","Fire","79.7","86.99","74.3","76.93","99.41","107.98","115.44","5.56","91.79","70.17"
"Ho Chi Minh City","6/30/2023 10:10","Fire","99.43","57.87","89.84","75.37","74.06","87.76","136.92","9.84","191.09","92.25"
"Ho Chi Minh City","6/30/2023 10:15","Fire","93.36","69.33","93.54","82.71","72.01","147.26","143.3","12.28","141.92","98.74"
"Ho Chi Minh City","6/30/2023 10:20","Fire","81.39","65.66","58.94","65.53","94.47","128.11","77.05","16.31","136.31","65.61"
"Ho Chi Minh City","6/30/2023 11:00","Non","23.44","11.1","13.38","29.99","27.58","29.02","19.41","71","30.13","29.97"
"Ho Chi Minh City","6/30/2023 12:00","Fire","79.5","60.33","96","77.35","88.1","82.5","132.55","8.87","113.42","88.66"
"Ho Chi Minh City","6/30/2023 13:00","Non","27.28","13.32","14.92","15.83","20.35","29.06","13.45","93.68","26.01","28.52"
"Ho Chi Minh City","6/30/2023 14:00","Fire","66.06","71.75","60.33","89.34","74.74","141.51","107.28","19.58","115.56","67.33"
"Ho Chi Minh City","6/30/2023 15:00","Non","34.07","26.6","18.03","19.5","27.41","12.94","29.63","67.49","30.11","21.8"
"Ho Chi Minh City","6/30/2023 16:00","Fire","76.94","70.78","80.44","78.13","78.11","146.57","128.87","5.33","161.49","81.87"
"Ho Chi Minh City","6/30/2023 17:00","Non","35.36","14.5","23.82","18.12","17.19","14.45","15.46","92.12","28.54","28.77"
"Ho Chi Minh City","6/30/2023 18:00","Fire","76.38","59.86","86.41","88.36","78.3","95.39","83.83","5.83","191.78","66.73"
"Ho Chi Minh City","6/30/2023 18:05","Fire","73.36","79.55","60.41","89.21","73.19","117.29","105.56","18.32","161.24","84.78"
"Ho Chi Minh City","6/30/2023 18:10","Fire","70.32","71.09","60.3","89","98.62","104","75.7","18.24","172.57","77.05"
"Ho Chi Minh City","6/30/2023 18:15","Fire","77.43","88.3","97.56","61.37","94.82","75.53","140","18.77","116.72","65.63"
"Ho Chi Minh City","6/30/2023 18:20","Fire","68.92","63.44","77.16","64.94","82.36","74.73","137.96","16.44","98.14","80.17"
"Ho Chi Minh City","6/30/2023 18:25","Fire","98.79","64.63","74.82","77.1","94.96","119.91","145.03","6.92","186.53","68.54"
"Ho Chi Minh City","6/30/2023 18:30","Fire","96.68","55.78","98.85","83.48","76.5","83.3","135.16","19.23","185.65","80.19"
"Ho Chi Minh City","6/30/2023 18:35","Fire","86.63","68.47","60.02","64.91","62.88","80.83","139.78","6.47","148.09","78.85"
"Ho Chi Minh City","6/30/2023 18:40","Fire","87.94","68.42","78.47","66.15","83.25","101.2","137.67","19.47","127.22","73.91"
"Ho Chi Minh City","6/30/2023 19:00","Non","33.61","26.66","15.18","26.07","29.66","26.91","17.11","86.32","31.6","29.89"
"Ho Chi Minh City","6/30/2023 20:00","Non","21.93","11.1","18.27","21.55","20.69","28.22","14.6","80.81","22.53","28.17"
"Ho Chi Minh City","6/30/2023 21:00","Fire","68.39","70.96","76.13","98.07","99.06","88.6","79.72","12.85","171.84","65.94"
"Ho Chi Minh City","6/30/2023 21:05","Fire","92.83","84.69","93.83","80.97","94.77","134.59","79.01","7.69","104.05","93.9"
"Ho Chi Minh City","6/30/2023 21:10","Fire","72.62","56.51","78.7","69.2","72.75","137.26","74.73","10.64","158.97","77.02"
"Ho Chi Minh City","6/30/2023 21:15","Fire","94.81","71.22","79.66","83.03","74.08","125.81","128.39","12.53","141.63","86.29"
"Ho Chi Minh City","6/30/2023 21:20","Fire","93.73","87.5","92.65","91.85","88.27","142.95","137.43","10.03","158.15","96.45"
"Ho Chi Minh City","6/30/2023 21:25","Fire","89.67","79.83","89.06","85.13","71.07","114.23","102.98","17.89","104.54","84.87"
"Ho Chi Minh City","6/30/2023 21:30","Fire","66.43","66.62","68.78","77.75","61.07","85.45","95.75","17.4","167.27","98.69"
"Ho Chi Minh City","6/30/2023 22:00","Non","25.97","15.48","13.07","29.84","16.64","27.14","13.76","61.87","29.54","23.8"
"Ho Chi Minh City","6/30/2023 23:00","Fire","92.03","70.16","64.68","95.86","68.92","134.5","127.52","15.64","162.75","81.5"
"Ho Chi Minh City","6/30/2023 23:05","Fire","75.27","61.65","61.92","63.11","74.36","109.71","97.68","12.01","106.03","65.7"
"Ho Chi Minh City","6/30/2023 23:10","Fire","98.73","64.58","82.68","87.91","94.46","71.46","81.84","12.17","92.76","69.79"
"Ho Chi Minh City","6/30/2023 23:15","Fire","91.2","78.36","88.87","84.47","99.74","75.69","123.89","15.02","190.48","83.09"
"Ho Chi Minh City","6/30/2023 23:20","Fire","66.44","85.73","82.31","75.93","87.06","107.01","93.01","15.43","192.8","96.54"
"Ho Chi Minh City","7/1/2023 0:00","Non","34.04","14.61","26.99","19.49","22.9","23.32","25.62","96.08","22.12","24.45"
"Ho Chi Minh City","7/1/2023 1:00","Fire","69.65","86.08","69.78","98.01","65.66","106.16","84.75","6.93","162.48","79.07"
"Ho Chi Minh City","7/1/2023 1:05","Fire","75.16","69.39","97.51","80.78","94.08","104.95","98.59","11.99","191.46","70.57"
"Ho Chi Minh City","7/1/2023 1:10","Fire","82.52","83.14","69.78","86.09","91.46","81.09","100.5","9.04","100.56","67.83"
"Ho Chi Minh City","7/1/2023 1:15","Fire","77.86","86.01","90.74","99.23","98.9","101.92","130.08","19.7","130.46","78.07"
"Ho Chi Minh City","7/1/2023 2:00","Non","24.73","21.35","21.35","26.32","19.61","18.68","18.41","83.46","24.16","21.12"
"Ho Chi Minh City","7/1/2023 3:00","Fire","66.77","60.65","90.76","69.91","78.35","108.36","115.8","9.86","90.21","69.23"
"Ho Chi Minh City","7/1/2023 3:05","Fire","81.12","72.66","87.57","77.68","78.25","110.47","130.24","13.49","130.55","94.39"
"Ho Chi Minh City","7/1/2023 3:10","Fire","79.24","79.86","84.11","88.33","70.98","139.8","88.2","5.35","146.33","77.25"
"Ho Chi Minh City","7/1/2023 3:15","Fire","66.04","66.01","78.87","73.51","94.6","105.66","128.37","19.61","161.32","83.36"
"Ho Chi Minh City","7/1/2023 3:20","Fire","95.54","75.72","58.79","69","91.71","123.75","121.88","18.73","96.75","89.42"
"Ho Chi Minh City","7/1/2023 3:25","Fire","97.46","58.17","67.05","63.87","62.65","90.49","143.03","10.79","117.22","93.43"
"Ho Chi Minh City","7/1/2023 3:30","Fire","97.15","89.37","89.96","72.45","67.26","86.46","130.76","13.26","125.66","77.46"
"Ho Chi Minh City","7/1/2023 3:35","Fire","83.39","55.6","55.85","94.9","61.67","133.18","114.2","8.19","170.48","93.01"
"Ho Chi Minh City","7/1/2023 3:40","Fire","91.02","85.05","72.73","60.28","74.28","142","125.26","14.3","161.15","73.81"
"Ho Chi Minh City","7/1/2023 3:45","Fire","86.51","61.92","71.41","77.56","72.92","98.63","119.32","11.29","195.33","78.37"
"Ho Chi Minh City","7/1/2023 3:50","Fire","77.04","59.08","60.69","84.88","66.15","110.11","92.39","17.61","135.62","99.77"
"Ho Chi Minh City","7/1/2023 3:55","Fire","65.93","58.35","82.5","86.24","75.43","136.66","86.16","10.09","130.04","79.84"
"Ho Chi Minh City","7/1/2023 4:00","Fire","75.43","84.37","85.98","87.74","95.56","146.55","145.1","18.2","90.25","79.59"
"Ho Chi Minh City","7/1/2023 4:05","Fire","80.97","64.78","78.71","71.91","61.58","143.88","105.44","19.56","149.26","87.68"
"Ho Chi Minh City","7/1/2023 4:10","Fire","95.69","60.28","85.08","97.91","71.68","147.78","114.84","16.91","109.22","66.1"
"Ho Chi Minh City","7/1/2023 4:15","Fire","75.84","77.39","65.11","72.24","86.5","80.46","118.38","7.58","104.07","77.94"
"Ho Chi Minh City","7/1/2023 5:00","Non","28.66","20.37","23.73","27.87","16.1","28.27","15.08","68.95","31.4","29.4"
"Ho Chi Minh City","7/1/2023 6:00","Fire","90.84","76.03","92.47","75.24","85.34","108.28","142.44","14.2","114.21","67.4"
"Ho Chi Minh City","7/1/2023 6:05","Fire","91.73","55.34","65.29","92.39","77.54","99.91","147.27","6.85","188.64","84.72"
"Ho Chi Minh City","7/1/2023 6:10","Fire","74.27","77.61","66.11","75.15","99.23","128.15","117.48","14.59","117.66","84.92"
"Ho Chi Minh City","7/1/2023 6:15","Fire","93.95","89.88","94.19","69.19","97.81","72.13","83.32","18.31","172.18","87.53"
"Ho Chi Minh City","7/1/2023 6:20","Fire","93.04","75.98","86.18","74.08","64.69","143.85","93.2","13.83","194.86","74.31"
"Ho Chi Minh City","7/1/2023 6:25","Fire","88.58","80.01","63.1","96.97","87.31","74.32","101.04","15.92","164.76","97.5"
"Ho Chi Minh City","7/1/2023 6:30","Fire","97.53","57.6","96.68","65.95","71.57","137.82","118.29","9.71","119.89","80.92"
"Ho Chi Minh City","7/1/2023 7:00","Non","35.03","26.61","27.94","24.29","21.52","23.83","27.39","83.95","29.45","28.35"
"Ho Chi Minh City","7/1/2023 8:00","Fire","78.69","55.71","73.61","90.42","88.52","110.25","147.05","18.51","183.28","87.46"
"Ho Chi Minh City","7/1/2023 9:00","Non","27.8","19.07","10.94","21.32","23.69","10.71","21.22","89.83","26.18","24.46"
"Ho Chi Minh City","7/1/2023 10:00","Fire","80.75","72.7","98.71","98.39","64.23","134","99.78","14.01","196.74","87.58"
"Ho Chi Minh City","7/1/2023 10:05","Fire","66.87","66.07","88.29","63.57","64.58","106.46","112.33","14.84","187.94","83.83"
"Ho Chi Minh City","7/1/2023 11:00","Non","21.28","20.63","16.17","25.2","20.68","24.01","21.32","62.22","21.77","21.68"
"Ho Chi Minh City","7/1/2023 12:00","Fire","83.16","72.08","99.3","88.51","88.09","103.3","97.04","13.63","97","67.54"
"Ho Chi Minh City","7/1/2023 12:05","Fire","81.72","74.46","94.49","98.5","91.52","97.62","89.64","17.49","116.18","75.96"
"Ho Chi Minh City","7/1/2023 12:10","Fire","99.17","57.11","55.25","60.81","93.32","104.79","94.33","7.19","124.66","80.77"
"Ho Chi Minh City","7/1/2023 12:15","Fire","78.48","85.64","88.24","93.48","91.72","122.29","72.22","13.96","194.8","88.24"
"Ho Chi Minh City","7/1/2023 12:20","Fire","73.26","86.59","81.73","78.66","64.09","102.2","119.31","17.47","173.86","86.95"
"Ho Chi Minh City","7/1/2023 12:25","Fire","72.49","56.9","84.26","93.06","84.06","145.27","77.72","8.3","152.54","67.14"
"Ho Chi Minh City","7/1/2023 13:00","Non","28.36","13.16","29.57","18.04","16.87","29.94","29.78","85.89","27.35","22.46"
"Ho Chi Minh City","7/1/2023 14:00","Fire","95.12","78.08","57.97","91.9","94.64","94.74","103.26","8.88","98.99","94.79"
"Ho Chi Minh City","7/1/2023 15:00","Non","29.01","10.64","18.57","16.08","22.17","18.42","22.61","85.45","27.97","29.48"
"Ho Chi Minh City","7/1/2023 16:00","Fire","90.86","68.21","84.69","72.24","75.02","80.67","103.29","7.52","184.66","71.71"
"Ho Chi Minh City","7/1/2023 16:05","Fire","89.16","70.22","80.98","69.77","65.54","104.51","119.29","5.03","182","70.04"
"Ho Chi Minh City","7/1/2023 16:10","Fire","98.88","59.15","69.84","62.89","83.4","139.68","110.3","19.02","110.92","87.18"
"Ho Chi Minh City","7/1/2023 17:00","Non","35.31","15.17","20.61","28.47","16.91","12.78","24.83","81.95","26.2","23.2"
